metric_type,sensor_type,px,py,vx,vy,ro,phi,ro_dot
prediction,none,4.828559,19.176911,-4.599144,-2.460363,0,0,0
update,radar,4.828559,19.176912,-4.599144,-2.460363,19.775463,1.324134,-3.508863
prediction,none,4.637760,19.063141,-4.510871,-2.456503,0,0,0
prediction,none,4.527900,18.909464,-4.236171,-2.521507,0,0,0
update,radar,4.527900,18.909464,-4.236171,-2.521508,19.444016,1.335770,-3.438658
prediction,none,4.290177,18.744649,-4.332831,-2.776047,0,0,0
prediction,none,4.146493,18.613335,-4.165012,-2.771378,0,0,0
update,radar,4.146493,18.613335,-4.165011,-2.771378,19.069599,1.351605,-3.610709
prediction,none,3.959510,18.467063,-4.115251,-2.795828,0,0,0
prediction,none,3.886018,18.314171,-3.804882,-2.830908,0,0,0
update,radar,3.886018,18.314171,-3.804883,-2.830908,18.721912,1.361711,-3.559015
prediction,none,3.670079,18.117688,-3.925518,-3.268302,0,0,0
prediction,none,3.378630,17.974071,-4.151130,-3.226091,0,0,0
update,radar,3.378630,17.974072,-4.151131,-3.226091,18.288860,1.384992,-3.937431
prediction,none,3.210904,17.828049,-4.048018,-3.138008,0,0,0
prediction,none,2.974430,17.660094,-4.125727,-3.153913,0,0,0
update,radar,2.974431,17.660093,-4.125727,-3.153913,17.908829,1.403936,-3.795340
prediction,none,2.753436,17.462169,-4.188776,-3.442951,0,0,0
prediction,none,2.613917,17.348474,-4.034338,-3.349621,0,0,0
update,radar,2.613917,17.348475,-4.034338,-3.349621,17.544291,1.421250,-3.913309
prediction,none,2.441865,17.114602,-3.986424,-3.700932,0,0,0
prediction,none,2.293179,16.920288,-3.865930,-3.718526,0,0,0
update,radar,2.293180,16.920288,-3.865930,-3.718526,17.074976,1.436089,-4.204035
prediction,none,2.112396,16.763638,-3.823773,-3.536499,0,0,0
prediction,none,1.981480,16.595404,-3.682999,-3.524289,0,0,0
update,radar,1.981480,16.595404,-3.682999,-3.524289,16.713278,1.451960,-3.936079
prediction,none,1.776150,16.393350,-3.729736,-3.563839,0,0,0
prediction,none,1.647748,16.159838,-3.585116,-3.656832,0,0,0
update,radar,1.647748,16.159838,-3.585116,-3.656832,16.243628,1.469182,-4.001642
prediction,none,1.473577,15.981734,-3.573779,-3.651539,0,0,0
prediction,none,1.280982,15.818434,-3.609094,-3.619503,0,0,0
update,radar,1.280982,15.818435,-3.609094,-3.619503,15.870217,1.489992,-3.899005
prediction,none,1.123329,15.564020,-3.564225,-4.007005,0,0,0
prediction,none,0.974275,15.338360,-3.492276,-4.048603,0,0,0
update,radar,0.974275,15.338360,-3.492276,-4.048603,15.369271,1.507363,-4.261839
prediction,none,0.791425,15.143464,-3.513244,-4.043713,0,0,0
prediction,none,0.587163,14.917713,-3.578745,-4.083184,0,0,0
update,radar,0.587163,14.917713,-3.578745,-4.083184,14.929264,1.531456,-4.220776
prediction,none,0.433241,14.741301,-3.519474,-3.978393,0,0,0
prediction,none,0.391222,14.534547,-3.200201,-3.985507,0,0,0
update,radar,0.391222,14.534547,-3.200201,-3.985507,14.539811,1.543886,-4.070171
prediction,none,0.258183,14.272272,-3.133730,-4.305684,0,0,0
prediction,none,0.099545,14.044687,-3.137410,-4.326042,0,0,0
update,radar,0.099545,14.044686,-3.137410,-4.326042,14.045039,1.563709,-4.348170
prediction,none,-0.058642,13.769627,-3.135520,-4.664416,0,0,0
prediction,none,0.010625,13.524193,-2.595404,-4.669862,0,0,0
update,radar,0.010625,13.524193,-2.595404,-4.669862,13.524197,1.570011,-4.671900
prediction,none,-0.113216,13.270188,-2.579002,-4.818258,0,0,0
prediction,none,-0.275643,13.031383,-2.659151,-4.816886,0,0,0
update,radar,-0.275643,13.031384,-2.659152,-4.816885,13.034298,1.591945,-4.759574
prediction,none,-0.412389,12.819840,-2.673084,-4.663319,0,0,0
prediction,none,-0.346466,12.611696,-2.196656,-4.606101,0,0,0
update,radar,-0.346466,12.611695,-2.196656,-4.606101,12.616453,1.598261,-4.544040
prediction,none,-0.487900,12.386709,-2.276172,-4.519938,0,0,0
prediction,none,-0.597092,12.156756,-2.264913,-4.526092,0,0,0
update,radar,-0.597092,12.156755,-2.264913,-4.526092,12.171410,1.619873,-4.409533
prediction,none,-0.740811,11.943617,-2.338486,-4.522339,0,0,0
prediction,none,-0.788497,11.737188,-2.172768,-4.483036,0,0,0
update,radar,-0.788497,11.737187,-2.172768,-4.483037,11.763643,1.637875,-4.327317
prediction,none,-0.940235,11.496816,-2.273774,-4.561720,0,0,0
prediction,none,-1.154419,11.246107,-2.515198,-4.610703,0,0,0
update,radar,-1.154419,11.246107,-2.515198,-4.610703,11.305202,1.673089,-4.329764
prediction,none,-1.260760,11.022756,-2.477850,-4.510257,0,0,0
prediction,none,-1.439556,10.796734,-2.609901,-4.519638,0,0,0
update,radar,-1.439556,10.796734,-2.609901,-4.519638,10.892281,1.703347,-4.135059
prediction,none,-1.537447,10.527874,-2.499617,-4.804712,0,0,0
prediction,none,-1.649443,10.269938,-2.469099,-4.831576,0,0,0
update,radar,-1.649443,10.269938,-2.469099,-4.831576,10.401553,1.730045,-4.378899
prediction,none,-1.758800,9.988699,-2.414715,-5.021737,0,0,0
prediction,none,-1.811797,9.788499,-2.248814,-4.922377,0,0,0
update,radar,-1.811797,9.788499,-2.248814,-4.922377,9.954763,1.753819,-4.430872
prediction,none,-1.898546,9.560806,-2.190827,-4.856715,0,0,0
prediction,none,-1.934454,9.353937,-2.010925,-4.779261,0,0,0
update,radar,-1.934454,9.353937,-2.010925,-4.779262,9.551871,1.774728,-4.272971
prediction,none,-2.066588,9.081257,-2.062065,-4.972913,0,0,0
prediction,none,-2.135394,8.783116,-1.983442,-5.047409,0,0,0
update,radar,-2.135394,8.783115,-1.983442,-5.047409,9.038972,1.809294,-4.435962
prediction,none,-2.211766,8.569383,-1.943584,-4.900331,0,0,0
prediction,none,-2.297046,8.321300,-1.915232,-4.902169,0,0,0
update,radar,-2.297046,8.321301,-1.915232,-4.902169,8.632524,1.840133,-4.215806
prediction,none,-2.446040,8.051502,-2.037521,-4.994649,0,0,0
prediction,none,-2.455332,7.835780,-1.810211,-4.908204,0,0,0
update,radar,-2.455332,7.835780,-1.810211,-4.908204,8.211462,1.874454,-4.142373
prediction,none,-2.495487,7.630971,-1.676560,-4.838354,0,0,0
prediction,none,-2.618609,7.376539,-1.772959,-4.873164,0,0,0
update,radar,-2.618609,7.376539,-1.772959,-4.873164,7.827543,1.911911,-3.999262
prediction,none,-2.796593,7.139783,-2.030753,-4.777152,0,0,0
prediction,none,-2.904456,6.886315,-2.048616,-4.804845,0,0,0
update,radar,-2.904456,6.886315,-2.048616,-4.804845,7.473768,1.969930,-3.631042
prediction,none,-2.952195,6.644244,-1.859922,-4.916439,0,0,0
prediction,none,-2.956358,6.459069,-1.635377,-4.771938,0,0,0
update,radar,-2.956358,6.459069,-1.635377,-4.771938,7.103494,2.000041,-3.658414
prediction,none,-2.989656,6.260956,-1.558378,-4.576762,0,0,0
prediction,none,-3.041072,6.033572,-1.495352,-4.562422,0,0,0
